Call,Band,Mode,Submodes,TheirClass,TheirSection,Tier,FirstUTC,BestSNR,SeenIn
VE3SPR,40m,Digital,FT4,3A,ONS,CONFIRMED,2026-06-28 08:29:15,-9,joel
VE7SCC,40m,Digital,FT8,3A,BC,CONFIRMED,2026-06-28 13:05:30,-8,joel
W0BU,40m,Digital,FT8,3A,MN,EXCHANGED,2026-06-28 09:41:45,-17,joel
W0CXX,40m,Digital,FT8,3A,IA,CONFIRMED,2026-06-28 14:14:00,-7,joel
W0LV,40m,Digital,FT8,1D,NV,CONFIRMED,2026-06-28 10:19:30,-2,joel
W0OJY,40m,Digital,FT4,3A,SD,CONFIRMED,2026-06-28 12:27:15,3,joel
W0WTN,40m,Digital,FT4,9A,SD,CONFIRMED,2026-06-28 03:37:52,-6,joel
W0ZA,40m,Digital,FT4,1D,NE,CONFIRMED,2026-06-28 04:29:45,9,joel
W1EE,40m,Digital,FT4,2A,CT,CONFIRMED,2026-06-28 06:24:15,-5,joel
W3AO,40m,Digital,FT8,9A,MDC,CONFIRMED,2026-06-28 10:06:30,-8,joel
W3SMR,40m,Digital,FT4,1A,MDC,EXCHANGED,2026-06-28 09:00:07,-12,joel
W4A,40m,Digital,FT8,4A,AL,CONFIRMED,2026-06-28 09:25:45,-11,joel
W4BFB,40m,Digital,FT8,2A,NC,CONFIRMED,2026-06-28 10:00:00,-7,joel
W4DW,40m,Digital,FT4,5A,NC,EXCHANGED,2026-06-28 08:34:37,-21,joel
W4GR,40m,Digital,FT4,8A,GA,CONFIRMED,2026-06-28 08:17:07,-6,joel
W4JNB,40m,Digital,FT4,3A,AL,CONFIRMED,2026-06-28 05:52:45,-4,joel
W4JNG,40m,Digital,FT8,1D,NC,CONFIRMED,2026-06-28 09:24:15,-12,joel
W4PTY,40m,Digital,FT4,1D,NTX,CONFIRMED,2026-06-28 06:13:52,-7,joel
W5DAH,40m,Digital,FT4,1D,OK,CONFIRMED,2026-06-28 04:17:07,7,joel
W5LCR,40m,Digital,FT4,2A,STX,CONFIRMED,2026-06-28 09:04:52,3,joel
W6SCF,40m,Digital,FT8,2A,SCV,EXCHANGED,2026-06-28 09:41:15,-14,joel
W6SJC,40m,Digital,FT4,4F,SCV,CONFIRMED,2026-06-28 07:10:37,0,joel
W6WPT,40m,Digital,FT8,2A,SJV,CONFIRMED,2026-06-28 09:21:00,-6,joel
W7AVM,40m,Digital,FT8,4A,WWA,CONFIRMED,2026-06-28 10:10:15,-11,joel
W7BAR,40m,Digital,FT4,3A,UT,CONFIRMED,2026-06-28 14:03:30,8,joel
W7CT,40m,Digital,FT4,1E,UT,CONFIRMED,2026-06-28 02:01:22,4,joel
W7DK,40m,Digital,FT8,4A,WWA,CONFIRMED,2026-06-28 02:07:30,-9,joel
W7GRA,40m,Digital,FT8,4A,OR,CONFIRMED,2026-06-28 09:12:45,3,joel
W7JWT,40m,Digital,FT4+FT8,2B,EWA,CONFIRMED,2026-06-28 04:27:52,-8,joel
W7OTV,40m,Digital,FT8,4A,OR,CONFIRMED,2026-06-28 10:41:00,-14,joel
W7PIG,40m,Digital,FT4,3A,WWA,CONFIRMED,2026-06-28 08:41:00,-5,joel
W7RCH,40m,Digital,FT8,1F,UT,EXCHANGED,2026-06-28 15:01:30,-17,joel
W7VOI,40m,Digital,FT4,2A,ID,CONFIRMED,2026-06-28 04:18:52,-1,joel
W7VW,40m,Digital,FT8,6A,OR,CONFIRMED,2026-06-28 10:02:15,-9,joel
W8BM,40m,Digital,FT4,5A,OH,CONFIRMED,2026-06-28 08:54:22,-9,joel
W8RP,40m,Digital,FT4,5A,MI,CONFIRMED,2026-06-28 08:48:52,-7,joel
W8VTD,40m,Digital,FT4,8A,OH,EXCHANGED,2026-06-28 08:34:07,-5,joel
W8XRN,40m,Digital,FT4,3F,OH,CONFIRMED,2026-06-28 05:49:37,2,joel
W8XX,40m,Digital,FT4,1A,OH,CONFIRMED,2026-06-28 10:53:15,-2,joel
W9TAL,40m,Digital,FT4,2A,IL,CONFIRMED,2026-06-28 11:21:22,-10,joel
W9UP,40m,Digital,FT4,6A,WI,CONFIRMED,2026-06-28 04:36:45,-2,joel
WA7DHQ,40m,Digital,FT8,1D,AZ,CONFIRMED,2026-06-28 14:48:15,-12,joel
WB1BWQ,40m,Digital,FT8,1E,WTX,CONFIRMED,2026-06-28 10:27:15,-11,joel
WD9HSY,40m,Digital,FT4,1E,IL,EXCHANGED,2026-06-28 10:56:15,-12,joel
WR5E,40m,Digital,FT8,1B,CO,CONFIRMED,2026-06-28 14:52:00,-19,joel
WY7HR,40m,Digital,FT4,6A,WY,CONFIRMED,2026-06-28 04:23:15,4,joel
